Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Registration_ValidateForm/Verify_MaximumChar_Password,Chrome 67.0.3396.99,,2018-07-12 15:21:14,2018-07-12 15:21:15,0.973s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:14,2018-07-12 15:21:14,0.538s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:14,2018-07-12 15:21:14,0.147s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:14,2018-07-12 15:21:15,0.028s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.039s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.031s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.031s,PASSED
,,,,,,
Test Cases/Registration_ValidateForm/Verify_MinMaxChar_ConfirmPassword,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:16,1.122s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.097s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.195s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.032s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.028s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.023s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:15,0.027s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:15,2018-07-12 15:21:16,0.410s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-12 15:21:16,2018-07-12 15:21:16,0.110s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-12 15:21:16,2018-07-12 15:21:16,0.023s,PASSED
verifyElementText,Chrome 67.0.3396.99,,2018-07-12 15:21:16,2018-07-12 15:21:16,0.030s,PASSED
clearText,Chrome 67.0.3396.99,,2018-07-12 15:21:16,2018-07-12 15:21:16,0.025s,PASSED
